country,lifeexp,unemployment,happiness
Albania,77.6,6.09,Low
Bulgaria,75,3.24,Low
Iran,75.8,2.11,Low
Ukraine,71.9,1.53,Low
South Africa,61.8,7.52,Low
Ukraine,71.9,1.53,Low
Austria,81.4,1.43,High
Croatia,77.3,5.53,High
Denmark,80.7,1.36,High
Serbia,75.7,4.96,High
Indonesia,71.4,1.26,High
Thailand,77.5,0.06,High
