borough,property_type,timestamp_of_call
Lewisham,House - single occupancy,05/01/2017 20:53
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/01/2017 14:59
Newham,Converted Flat/Maisonette - Up to 2 storeys,06/01/2017 14:46
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/01/2017 13:35
Barnet,House - single occupancy,06/01/2017 09:00
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/01/2017 22:34
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/01/2017 21:16
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/01/2017 05:09
Redbridge,Converted Flat/Maisonette - Up to 2 storeys,06/01/2017 01:30
Greenwich,House - single occupancy,06/01/2017 19:34
Hounslow,House - single occupancy,06/01/2017 11:26
City Of london,Hotel/motel,06/01/2017 22:53
Camden,House - single occupancy,06/01/2017 22:39
Barnet,House - single occupancy,06/01/2017 14:25
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/01/2017 22:48
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/01/2017 17:01
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/01/2017 06:42
Southwark,Self contained Sheltered Housing,07/01/2017 11:57
Newham,Self contained Sheltered Housing,07/01/2017 18:02
Wandsworth,House - single occupancy,07/01/2017 02:30
Redbridge,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/01/2017 14:08
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/01/2017 00:46
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,07/01/2017 18:05
Hounslow,House - single occupancy,07/01/2017 17:52
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/01/2017 08:36
Brent,Converted Flat/Maisonettes - 3 or more storeys,07/01/2017 13:46
Enfield,House - single occupancy,07/01/2017 15:27
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/01/2017 06:41
Ealing,Self contained Sheltered Housing,07/01/2017 15:37
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,07/01/2017 23:48
Wandsworth,House - single occupancy,07/01/2017 13:38
Brent,Purpose Built Flats/Maisonettes - 10 or more storeys,07/01/2017 22:01
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 16:54
Lewisham,Converted Flat/Maisonettes - 3 or more storeys,08/01/2017 15:10
Westminster,Converted Flat/Maisonette - Up to 2 storeys,08/01/2017 15:32
Newham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 11:20
Southwark,House - single occupancy,08/01/2017 18:22
Barnet,House - single occupancy,08/01/2017 14:37
Not geo-coded,House - single occupancy,08/01/2017 20:34
Havering,Self contained Sheltered Housing,08/01/2017 19:25
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/01/2017 00:26
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 20:11
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/01/2017 09:02
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/01/2017 22:13
Islington,House - single occupancy,08/01/2017 22:22
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/01/2017 11:49
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 19:58
Not geo-coded,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 18:29
Redbridge,House - single occupancy,08/01/2017 20:35
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 18:58
Tower Hamlets,Converted Flat/Maisonette - Up to 2 storeys,08/01/2017 13:24
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 07:25
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/01/2017 13:52
Westminster,Converted Flat/Maisonettes - 3 or more storeys,08/01/2017 18:03
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,08/01/2017 00:28
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/01/2017 08:36
Haringey,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 17:20
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/01/2017 09:14
Hillingdon,House - single occupancy,09/01/2017 20:39
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 20:08
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 10:41
Southwark,House - single occupancy,09/01/2017 16:28
Enfield,House - single occupancy,09/01/2017 15:31
Greenwich,House - single occupancy,09/01/2017 20:35
Bexley,House - single occupancy,09/01/2017 19:20
Redbridge,House - single occupancy,09/01/2017 13:49
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/01/2017 12:23
Wandsworth,House - single occupancy,09/01/2017 19:46
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/01/2017 14:39
Barking And dagenham,House - single occupancy,09/01/2017 16:29
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 13:18
Camden,Self contained Sheltered Housing,09/01/2017 19:32
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 00:00
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/01/2017 04:01
Greenwich,Purpose Built Flats/Maisonettes - 10 or more storeys,10/01/2017 19:05
Barking And dagenham,House - single occupancy,10/01/2017 10:00
Wandsworth,Purpose Built Flats/Maisonettes - 10 or more storeys,10/01/2017 14:31
Redbridge,House - single occupancy,10/01/2017 06:29
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/01/2017 03:13
Hammersmith And fulham,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/01/2017 05:41
Croydon,House - single occupancy,10/01/2017 15:01
Ealing,Children's Home,10/01/2017 20:10
Havering,House - single occupancy,10/01/2017 07:12
Greenwich,Self contained Sheltered Housing,10/01/2017 14:44
Kingston Upon thames,Converted Flat/Maisonettes - 3 or more storeys,10/01/2017 22:22
Hackney,Converted Flat/Maisonette - Up to 2 storeys,10/01/2017 18:19
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/01/2017 00:04
Lambeth,Hostel (e.g. for homeless people),10/01/2017 03:34
Barnet,House - single occupancy,10/01/2017 19:57
Newham,House - single occupancy,11/01/2017 12:10
Southwark,Student Hall of Residence,11/01/2017 18:57
Waltham Forest,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/01/2017 18:29
Lewisham,Converted Flat/Maisonettes - 3 or more storeys,11/01/2017 09:59
Newham,House - single occupancy,11/01/2017 00:11
Not geo-coded,House - single occupancy,11/01/2017 20:21
Ealing,House - single occupancy,11/01/2017 15:35
Brent,House in Multiple Occupation - Up to 2 storeys (not known if licensed),11/01/2017 11:51
Southwark,Converted Flat/Maisonette - Up to 2 storeys,11/01/2017 15:47
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/01/2017 05:22
Greenwich,House - single occupancy,11/01/2017 17:57
Greenwich,Converted Flat/Maisonettes - 3 or more storeys,11/01/2017 12:21
Barnet,House - single occupancy,11/01/2017 20:59
Newham,House - single occupancy,11/01/2017 19:02
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/01/2017 19:54
Islington,Converted Flat/Maisonettes - 3 or more storeys,11/01/2017 10:32
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,11/01/2017 21:46
Kensington And chelsea,House - single occupancy,11/01/2017 16:19
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/01/2017 18:29
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/01/2017 20:49
Haringey,Retirement/Old Persons Home,12/01/2017 22:40
Hackney,Self contained Sheltered Housing,12/01/2017 17:40
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/01/2017 07:38
Enfield,Unlicensed House in Multiple Occupation - 3 or more storeys,12/01/2017 07:43
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/01/2017 23:43
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/01/2017 23:11
Bexley,Licensed House in Multiple Occupation - Up to 2 storeys,12/01/2017 21:04
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/01/2017 16:45
Hammersmith And fulham,House - single occupancy,12/01/2017 21:56
Haringey,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/01/2017 02:24
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/01/2017 19:32
Kensington And chelsea,Converted Flat/Maisonette - Up to 2 storeys,13/01/2017 12:20
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 10 or more storeys,13/01/2017 16:02
Lambeth,House - single occupancy,13/01/2017 20:12
Waltham Forest,House - single occupancy,13/01/2017 20:55
Havering,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/01/2017 23:44
Bromley,House - single occupancy,13/01/2017 19:49
Barnet,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/01/2017 18:48
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/01/2017 18:21
Hackney,Hostel (e.g. for homeless people),13/01/2017 02:39
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/01/2017 14:21
Brent,House - single occupancy,14/01/2017 15:11
Kingston Upon thames,House - single occupancy,14/01/2017 18:50
Richmond Upon thames,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/01/2017 23:11
Harrow,House - single occupancy,14/01/2017 18:36
Haringey,Converted Flat/Maisonette - Up to 2 storeys,14/01/2017 00:58
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/01/2017 01:01
Redbridge,House - single occupancy,14/01/2017 20:15
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/01/2017 12:33
Croydon,Converted Flat/Maisonettes - 3 or more storeys,14/01/2017 00:47
Lewisham,House - single occupancy,14/01/2017 10:18
Brent,Other Residential Home,14/01/2017 20:16
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/01/2017 11:13
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/01/2017 23:46
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/01/2017 07:31
Redbridge,Converted Flat/Maisonette - Up to 2 storeys,14/01/2017 23:25
Not geo-coded,House - single occupancy,14/01/2017 09:27
Kensington And chelsea,House - single occupancy,14/01/2017 16:04
Bexley,House - single occupancy,14/01/2017 01:12
Tower Hamlets,House - single occupancy,14/01/2017 19:38
Barking And dagenham,Bungalow - single occupancy,14/01/2017 11:29
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/01/2017 06:32
Tower Hamlets,House - single occupancy,14/01/2017 18:05
Hillingdon,House - single occupancy,14/01/2017 17:14
Bexley,House - single occupancy,15/01/2017 14:02
Brent,House - single occupancy,15/01/2017 04:48
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/01/2017 22:47
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 06:02
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 11:32
Hillingdon,Self contained Sheltered Housing,15/01/2017 19:35
